Value,Length,Index
Cd14,10,1
Cps1,10,1
Slc51a,10,1
Ada,10,1
Krt7,10,1
Fzd5,10,1
Maoa,10,1
Slc5a1,10,1
Apob,10,1
Nlrp6,10,1
Scarb1,9,2
Thy1,9,2
Nes,9,2
Etv1,9,2
Smo,9,2
Vim,9,2
Glp2r,9,2
Adgrf5,9,2
Gzmb,9,2
Tspan13,9,3
Klk1,9,3
Maged2,9,3
Tnfrsf21,9,3
Tm4sf4,9,3
Cd4,9,3
Adra2a,9,3
Lpar5,9,3
Lpar6,9,3
Tbx21,7,4
Adgrd1,7,4
Acta2,7,4
Slc12a2,7,4
Fzd2,7,4
Cadm1,7,4
Fzd7,7,4
Fzd1,7,5
Marcksl1,7,5
Sox4,7,5
Cspg4,7,5
Cckar,7,5
Lpar1,7,5
Hrh1,7,5
Acsl1,6,6
Gpr55,6,6
Slc18a1,6,6
Sdc1,6,6
Hmgb2,6,6
Stmn1,6,6
Taar7a,6,7
Neat1,6,7
Ccnl2,6,7
Txndc5,6,7
Lrmp,6,7
Cd79b,6,7
Ptger4,6,8
Cd44,6,8
S1pr2,6,8
Cd8a,6,8
Vcan,6,8
Nkg7,6,8
Adrb2,5,9
Tigit,5,9
Cd79a,5,9
Mzb1,5,9
Nt5e,5,9
Mki67,5,10
Jaml,5,10
Ifnar1,5,10
Clca3b,5,10
H2-Eb1,5,10
Tbxa2r,3,11
Net1,3,11
Itgam,3,11
C1qc,2,12
C1qb,2,12
Itgae,2,13
Cd3e,2,13
Ffar2,2,14
Kit,2,14
